time,P,G(i),H_sun,T2m,WS10m,Int
20190725:1910,492000.0,16.61,3.44,32.19,3.38,0.0
20190725:2010,0.0,0.0,0.0,30.32,2.9,0.0
20190725:2110,0.0,0.0,0.0,28.85,2.34,0.0
20190725:2210,0.0,0.0,0.0,27.62,2.14,0.0
20190725:2310,0.0,0.0,0.0,26.52,2.0,0.0
20190726:0010,0.0,0.0,0.0,25.6,1.86,0.0
20190726:0110,0.0,0.0,0.0,24.81,1.93,0.0
20190726:0210,0.0,0.0,0.0,24.11,2.21,0.0
20190726:0310,0.0,0.0,0.0,23.38,2.34,0.0
20190726:0410,0.0,0.0,0.0,22.49,2.48,0.0
20190726:0510,0.0,0.0,0.0,21.65,2.34,0.0
20190726:0610,2173000.0,46.32,9.64,21.16,2.34,0.0
20190726:0710,16531000.0,240.82,21.05,21.71,2.34,0.0
20190726:0810,33467000.0,432.36,32.71,23.15,2.48,0.0
20190726:0910,50546000.0,649.15,44.35,24.78,2.97,0.0
20190726:1010,64673000.0,839.98,55.52,26.35,3.86,0.0
20190726:1110,71413000.0,939.0,65.17,27.73,4.34,0.0
20190726:1210,74330000.0,984.94,70.59,28.77,4.55,0.0
20190726:1310,74442000.0,986.6,68.23,29.64,4.83,0.0
20190726:1410,66433000.0,872.84,59.9,30.23,5.03,0.0
20190726:1510,52579000.0,683.96,49.18,30.28,5.24,0.0
20190726:1610,36926000.0,485.04,37.67,29.8,5.31,0.0
20190726:1710,18656000.0,276.71,25.97,28.95,5.24,0.0
20190726:1810,2257000.0,57.8,14.43,27.76,4.9,0.0
20190726:1910,367000.0,13.99,3.3,26.08,4.28,0.0
20190726:2010,0.0,0.0,0.0,24.89,3.66,0.0
20190726:2110,0.0,0.0,0.0,23.9,3.45,0.0
20190726:2210,0.0,0.0,0.0,23.03,3.52,0.0
20190726:2310,0.0,0.0,0.0,22.1,3.66,0.0
20190727:0010,0.0,0.0,0.0,21.12,3.79,0.0
20190727:0110,0.0,0.0,0.0,20.13,3.72,0.0
20190727:0210,0.0,0.0,0.0,19.2,3.38,0.0
20190727:0310,0.0,0.0,0.0,18.34,3.1,0.0
20190727:0410,0.0,0.0,0.0,17.55,2.97,0.0
20190727:0510,0.0,0.0,0.0,16.82,2.9,0.0
20190727:0610,1990000.0,43.17,9.51,16.41,3.03,0.0
20190727:0710,16678000.0,238.59,20.92,16.62,3.52,0.0
20190727:0810,19175000.0,245.95,32.59,18.07,3.59,0.0
20190727:0910,27499000.0,347.08,44.22,19.86,3.66,0.0
20190727:1010,16004000.0,211.35,55.37,21.58,4.0,0.0
20190727:1110,45883000.0,580.4,64.99,22.98,4.48,0.0
20190727:1210,55771000.0,708.92,70.37,24.7,5.66,0.0
20190727:1310,75640000.0,967.11,68.03,24.83,6.0,0.0
20190727:1410,60136000.0,757.01,59.74,23.38,5.79,0.0
20190727:1510,52548000.0,656.17,49.05,21.91,5.03,0.0
20190727:1610,20812000.0,268.76,37.54,21.48,4.62,0.0
20190727:1710,18824000.0,268.36,25.85,21.37,4.48,0.0
20190727:1810,3760000.0,72.01,14.3,20.83,4.55,0.0
20190727:1910,426000.0,14.86,3.16,21.79,4.14,0.0
20190727:2010,0.0,0.0,0.0,20.93,3.24,0.0
20190727:2110,0.0,0.0,0.0,20.21,2.62,0.0
20190727:2210,0.0,0.0,0.0,19.75,2.28,0.0
20190727:2310,0.0,0.0,0.0,19.18,2.07,0.0
20190728:0010,0.0,0.0,0.0,18.61,1.79,0.0
20190728:0110,0.0,0.0,0.0,18.04,1.52,0.0
20190728:0210,0.0,0.0,0.0,17.47,1.24,0.0
20190728:0310,0.0,0.0,0.0,16.94,1.03,0.0
20190728:0410,0.0,0.0,0.0,16.62,0.83,0.0
20190728:0510,0.0,0.0,0.0,16.54,0.69,0.0
20190728:0610,3241000.0,56.34,9.37,16.48,0.69,0.0
20190728:0710,16548000.0,239.52,20.79,18.43,1.03,0.0
20190728:0810,36632000.0,469.64,32.46,20.63,1.93,0.0
20190728:0910,48915000.0,627.79,44.09,22.81,1.93,0.0
20190728:1010,46052000.0,600.21,55.22,24.59,1.52,0.0
20190728:1110,47815000.0,635.02,64.8,26.22,1.03,0.0
20190728:1210,48235000.0,652.56,70.14,27.7,0.48,0.0
20190728:1310,57348000.0,798.5,67.82,28.88,0.14,0.0
20190728:1410,55726000.0,769.86,59.57,29.8,0.41,0.0
20190728:1510,50669000.0,688.54,48.91,30.4,0.83,0.0
20190728:1610,36540000.0,494.17,37.41,30.7,1.38,0.0
20190728:1710,18052000.0,269.61,25.72,30.59,1.86,0.0
20190728:1810,3126000.0,67.18,14.16,30.09,2.28,0.0
20190728:1910,360000.0,13.99,3.01,29.19,2.48,0.0
20190728:2010,0.0,0.0,0.0,27.65,2.41,0.0
20190728:2110,0.0,0.0,0.0,26.22,2.34,0.0
20190728:2210,0.0,0.0,0.0,24.97,2.07,0.0
20190728:2310,0.0,0.0,0.0,23.86,1.72,0.0
